Date,Open,High,Low,Close,Adj Close,Volume
2015-12-31,64.75,66.150002,64.540001,65.089996,62.050537,1728000
2016-01-04,64.459999,65.33000200000001,64.050003,65.309998,62.260268999999994,2304400
2016-01-05,65.309998,66.959999,65.309998,66.230003,63.137302000000005,2045400
2016-01-06,65.25,66.559998,64.459999,65.230003,62.184006000000004,2446200
2016-01-07,64.019997,66.260002,64.0,64.440002,61.430889,3245700
2016-01-08,65.449997,65.5,62.66,62.700001,59.772144,3755900
2016-01-11,62.919998,63.68,61.77,62.619999,59.695877,2673600
2016-01-12,63.360001000000004,63.77,62.119999,63.369999,60.410862,1652600
2016-01-13,63.43,63.43,61.34,61.650002,59.003952000000005,2313600
2016-01-14,61.209998999999996,62.360001000000004,60.360001000000004,61.549999,58.908241000000004,2839900
2016-01-15,60.189999,60.98,59.009997999999996,60.650002,58.046875,3006600
2016-01-19,61.259997999999996,63.75,61.240002000000004,62.889998999999996,60.19073100000001,4083500
2016-01-20,62.009997999999996,62.82,59.759997999999996,62.240002000000004,59.568630000000006,5040500
2016-01-21,61.82,65.07,61.709998999999996,64.559998,61.789051,3176300
2016-01-22,64.959999,65.610001,64.5,65.199997,62.40158100000001,2128500
2016-01-25,65.349998,65.489998,64.300003,64.470001,61.702918999999994,1650300
2016-01-26,65.739998,66.760002,65.220001,66.129997,63.291653000000004,2603300
2016-01-27,65.639999,66.900002,65.400002,65.720001,62.899265,2340800
2016-01-28,66.800003,67.529999,65.83000200000001,67.309998,64.421013,2289400
2016-01-29,67.650002,68.5,67.220001,67.559998,64.660294,2532400
2016-02-01,67.58000200000001,69.5,67.230003,69.099998,66.134201,2155400
2016-02-02,68.900002,69.650002,68.699997,69.139999,66.172478,2217900
2016-02-03,69.040001,69.559998,67.0,68.489998,65.550377,2711600
2016-02-04,67.349998,68.709999,67.040001,68.050003,65.129272,2012600
2016-02-05,67.889999,68.0,65.739998,65.809998,62.98540500000001,2535500
2016-02-08,65.389999,65.440002,63.119999,64.510002,61.741195999999995,2606000
2016-02-09,63.639998999999996,64.989998,62.73,63.639998999999996,60.908543,1800700
2016-02-10,64.279999,64.870003,63.82,63.970001,61.224380000000004,1724500
2016-02-11,63.310001,64.459999,62.990002000000004,63.98,61.233948,2244700
2016-02-12,64.650002,66.110001,64.019997,65.949997,63.1194,1604200
2016-02-16,66.610001,68.029999,66.199997,67.68,64.77514599999999,1764900
2016-02-17,67.959999,68.269997,66.760002,67.660004,64.755997,1970500
2016-02-18,67.68,67.800003,66.260002,67.0,64.124336,1960700
2016-02-19,66.5,67.760002,65.650002,67.5,64.602859,2655500
2016-02-22,68.220001,68.449997,67.040001,67.25,64.363602,2052900
